time,y,y_pred,state,county
46,1.1894977168949772,1.1692934471048257,california,sacramento
49,1.1666666666666667,1.1677538002209942,california,sacramento
54,1.1027397260273972,1.165187722081275,california,sacramento
1,0.3516949152542373,0.9520027492286223,california,sacramento
16,0.3898305084745763,0.9443045148094646,california,sacramento
19,0.4491525423728814,0.9427648679256331,california,sacramento
25,0.4576271186440678,0.9396855741579699,california,sacramento
27,0.4957627118644069,0.9386591429020823,california,sacramento
31,0.5466101694915255,0.936606280390307,california,sacramento
32,0.5932203389830509,0.9360930647623631,california,sacramento
33,0.6737288135593221,0.9355798491344192,california,sacramento
40,0.7076271186440679,0.9319873397388123,california,sacramento
41,0.7118644067796611,0.9314741241108684,california,sacramento
42,0.7711864406779662,0.9309609084829247,california,sacramento
45,0.7966101694915255,0.9294212615990931,california,sacramento
46,0.8347457627118645,0.9289080459711492,california,sacramento
47,0.8601694915254239,0.9283948303432055,california,sacramento
49,0.9067796610169492,0.9273683990873176,california,sacramento
54,0.9110169491525424,0.9248023209475984,california,sacramento
1,0.5882352941176471,0.8784975789351875,california,sacramento
23,0.6058823529411764,0.867206835120423,california,sacramento
27,0.6117647058823529,0.8651539726086475,california,sacramento
31,0.6941176470588234,0.8631011100968722,california,sacramento
37,0.7411764705882352,0.860021816329209,california,sacramento
41,0.7411764705882352,0.8579689538174337,california,sacramento
42,0.8294117647058822,0.8574557381894898,california,sacramento
45,0.7882352941176469,0.8559160913056583,california,sacramento
46,0.8058823529411765,0.8554028756777143,california,sacramento
49,0.7647058823529411,0.8538632287938829,california,sacramento
54,0.7529411764705882,0.8512971506541636,california,sacramento
1,1.073394495412844,1.312023470256946,california,sacramento
41,0.7706422018348624,1.291494845139192,california,sacramento
45,0.7339449541284404,1.2894419826274166,california,sacramento
49,0.7706422018348624,1.2873891201156413,california,sacramento
54,1.1100917431192658,1.2848230419759221,california,sacramento
1,0.6305418719211823,0.9045747852681365,california,sanfrancisco
46,0.5197044334975369,0.8814800820106634,california,sanfrancisco
61,0.4926108374384237,0.8737818475915057,california,sanfrancisco
1,1.2236842105263157,1.6352475586446489,california,sanfrancisco
14,1.256578947368421,1.628575755481379,california,sanfrancisco
37,1.5460526315789471,1.6167717960386705,california,sanfrancisco
40,1.6118421052631582,1.615232149154839,california,sanfrancisco
41,1.6447368421052633,1.6147189335268952,california,sanfrancisco
49,1.6710526315789471,1.6106132085033442,california,sanfrancisco
55,1.6710526315789471,1.6075339147356813,california,sanfrancisco
1,1.3596491228070176,1.2864440393256578,california,sanfrancisco
2,1.3947368421052628,1.285930823697714,california,sanfrancisco
4,1.3976608187134498,1.2849043924418262,california,sanfrancisco
16,1.4005847953216373,1.2787458049065001,california,sanfrancisco
39,1.3508771929824561,1.2669418454637915,california,sanfrancisco
41,1.304093567251462,1.2659154142079039,california,sanfrancisco
47,1.3099415204678362,1.2628361204402407,california,sanfrancisco
55,1.2543859649122806,1.25873039541669,california,sanfrancisco
1,1.7884615384615383,2.0524309313228284,california,sanfrancisco
4,2.0961538461538463,2.050891284438997,california,sanfrancisco
41,2.057692307692308,2.0319023062050747,california,sanfrancisco
55,2.1346153846153846,2.0247172874138606,california,sanfrancisco
61,2.3653846153846154,2.0216379936461975,california,sanfrancisco
4,0.8440462277626282,0.9503778934768803,california,santaclara
7,0.8599931200550395,0.9488382465930488,california,santaclara
9,0.8912655971479501,0.9478118153371611,california,santaclara
12,0.9276829011174362,0.9462721684533295,california,santaclara
23,0.9110714993067937,0.9406267965459473,california,santaclara
31,0.9034986543637064,0.9365210715223965,california,santaclara
32,0.8878310476406361,0.9360078558944526,california,santaclara
33,0.9284016636957816,0.9354946402665087,california,santaclara
34,0.9416195856873824,0.9349814246385649,california,santaclara
47,0.997592019263846,0.9283096214752948,california,santaclara
54,1.0004001600640255,0.924717112079688,california,santaclara
55,1.0141987829614605,0.9242038964517441,california,santaclara
61,0.9898190045248868,0.921124602684081,california,santaclara
62,1.0007192669731368,0.9206113870561372,california,santaclara
4,1.271523178807947,1.298924761188568,california,santaclara
23,1.2363636363636363,1.2891736642576348,california,santaclara
26,1.2530120481927711,1.2876340173738032,california,santaclara
31,1.2705882352941176,1.285067939234084,california,santaclara
