White,Hispanic,Asian,Black,date,Native American,Native Hawaiian/Pacific Islander,Multi-Race,White_discrepancy,Hispanic_discrepancy,Asian_discrepancy,Black_discrepancy,Native American_discrepancy,Native Hawaiian/Pacific Islander_discrepancy,Multi-Race_discrepancy,White_rates,Hispanic_rates,Asian_rates,Black_rates,Native American_rates,Native Hawaiian/Pacific Islander_rates,Multi-Race_rates,White_covidperc,Hispanic_covidperc,Asian_covidperc,Black_covidperc,Native American_covidperc,Native Hawaiian/Pacific Islander_covidperc,Multi-Race_covidperc,Native American_demperc,Native Hawaiian/Pacific Islander_demperc,Multi-Race_demperc,Black_demperc,Asian_demperc,White_demperc,Hispanic_demperc
11,9,23,5,2020-07-07,,,,0.564039408866995,1.23684210526316,1.40058479532164,2,,,,0.031039890102084,0.067166460759175,0.072473440374714,0.101282758287644,,,,0.229,0.188,0.479,0.104,,,,0.003,0.003,0.054,0.052,0.342,0.406,0.152
11,9,23,5,2020-07-08,,,,0.564039408866995,1.23684210526316,1.40058479532164,2,,,,0.031039890102084,0.067166460759175,0.072473440374714,0.101282758287644,,,,0.229,0.188,0.479,0.104,,,,0.003,0.003,0.054,0.052,0.342,0.406,0.152
11,9,23,5,2020-07-09,,,,0.564039408866995,1.23684210526316,1.40058479532164,2,,,,0.031039890102084,0.067166460759175,0.072473440374714,0.101282758287644,,,,0.229,0.188,0.479,0.104,,,,0.003,0.003,0.054,0.052,0.342,0.406,0.152
11,9,23,5,2020-07-10,,,,0.564039408866995,1.23684210526316,1.40058479532164,2,,,,0.031039890102084,0.067166460759175,0.072473440374714,0.101282758287644,,,,0.229,0.188,0.479,0.104,,,,0.003,0.003,0.054,0.052,0.342,0.406,0.152
11,9,23,5,2020-07-11,,,,0.564039408866995,1.23684210526316,1.40058479532164,2,,,,0.031039890102084,0.067166460759175,0.072473440374714,0.101282758287644,,,,0.229,0.188,0.479,0.104,,,,0.003,0.003,0.054,0.052,0.342,0.406,0.152
11,9,23,5,2020-07-12,,,,0.564039408866995,1.23684210526316,1.40058479532164,2,,,,0.031039890102084,0.067166460759175,0.072473440374714,0.101282758287644,,,,0.229,0.188,0.479,0.104,,,,0.003,0.003,0.054,0.052,0.342,0.406,0.152
11,9,23,5,2020-07-13,,,,0.564039408866995,1.23684210526316,1.40058479532164,2,,,,0.031039890102084,0.067166460759175,0.072473440374714,0.101282758287644,,,,0.229,0.188,0.479,0.104,,,,0.003,0.003,0.054,0.052,0.342,0.406,0.152
11,9,23,5,2020-07-14,,,,0.564039408866995,1.23684210526316,1.40058479532164,2,,,,0.031039890102084,0.067166460759175,0.072473440374714,0.101282758287644,,,,0.229,0.188,0.479,0.104,,,,0.003,0.003,0.054,0.052,0.342,0.406,0.152
11,12,23,5,2020-07-20,,,,0.532019704433497,1.54605263157895,1.3187134502924,1.88461538461538,,,,0.031039890102084,0.089555281012233,0.072473440374714,0.101282758287644,,,,0.216,0.235,0.451,0.098,,,,0.003,0.003,0.054,0.052,0.342,0.406,0.152
11,12,23,5,2020-07-21,,,,0.532019704433497,1.54605263157895,1.3187134502924,1.88461538461538,,,,0.031039890102084,0.089555281012233,0.072473440374714,0.101282758287644,,,,0.216,0.235,0.451,0.098,,,,0.003,0.003,0.054,0.052,0.342,0.406,0.152
11,12,24,5,2020-07-22,,,,0.522167487684729,1.51973684210526,1.35087719298246,1.84615384615385,,,,0.031039890102084,0.089555281012233,0.075624459521441,0.101282758287644,,,,0.212,0.231,0.462,0.096,,,,0.003,0.003,0.054,0.052,0.342,0.406,0.152
11,13,24,5,2020-07-23,,,,0.512315270935961,1.61184210526316,1.32456140350877,1.80769230769231,,,,0.031039890102084,0.097018221096585,0.075624459521441,0.101282758287644,,,,0.208,0.245,0.453,0.094,,,,0.003,0.003,0.054,0.052,0.342,0.406,0.152
11,14,25,6,2020-07-24,,,,0.482758620689655,1.64473684210526,1.30409356725146,2.05769230769231,,,,0.031039890102084,0.104481161180938,0.078775478668168,0.121539309945173,,,,0.196,0.25,0.446,0.107,,,,0.003,0.003,0.054,0.052,0.342,0.406,0.152
11,14,25,6,2020-07-25,,,,0.482758620689655,1.64473684210526,1.30409356725146,2.05769230769231,,,,0.031039890102084,0.104481161180938,0.078775478668168,0.121539309945173,,,,0.196,0.25,0.446,0.107,,,,0.003,0.003,0.054,0.052,0.342,0.406,0.152
11,14,25,6,2020-07-26,,,,0.482758620689655,1.64473684210526,1.30409356725146,2.05769230769231,,,,0.031039890102084,0.104481161180938,0.078775478668168,0.121539309945173,,,,0.196,0.25,0.446,0.107,,,,0.003,0.003,0.054,0.052,0.342,0.406,0.152
11,14,25,6,2020-07-28,,,,0.482758620689655,1.64473684210526,1.30409356725146,2.05769230769231,,,,0.031039890102084,0.104481161180938,0.078775478668168,0.121539309945173,,,,0.196,0.25,0.446,0.107,,,,0.003,0.003,0.054,0.052,0.342,0.406,0.152
12,14,25,6,2020-07-29,,,,0.519704433497537,1.61842105263158,1.28362573099415,2.01923076923077,,,,0.033861698293183,0.104481161180938,0.078775478668168,0.121539309945173,,,,0.211,0.246,0.439,0.105,,,,0.003,0.003,0.054,0.052,0.342,0.406,0.152
12,14,26,6,2020-07-30,,,,0.509852216748768,1.58552631578947,1.30994152046784,1.98076923076923,,,,0.033861698293183,0.104481161180938,0.081926497814894,0.121539309945173,,,,0.207,0.241,0.448,0.103,,,,0.003,0.003,0.054,0.052,0.342,0.406,0.152
12,15,26,6,2020-08-01,,,,0.5,1.67105263157895,1.28947368421053,1.96153846153846,,,,0.033861698293183,0.111944101265291,0.081926497814894,0.121539309945173,,,,0.203,0.254,0.441,0.102,,,,0.003,0.003,0.054,0.052,0.342,0.406,0.152
12,15,26,6,2020-08-02,,,,0.5,1.67105263157895,1.28947368421053,1.96153846153846,,,,0.033861698293183,0.111944101265291,0.081926497814894,0.121539309945173,,,,0.203,0.254,0.441,0.102,,,,0.003,0.003,0.054,0.052,0.342,0.406,0.152
12,15,26,6,2020-08-06,,,1,0.492610837438424,1.64473684210526,1.26608187134503,1.92307692307692,,,0.314814814814815,0.033861698293183,0.111944101265291,0.081926497814894,0.121539309945173,,,0.025208153173814,0.2,0.25,0.433,0.1,,,0.017,0.003,0.003,0.054,0.052,0.342,0.406,0.152
12,16,27,7,2020-08-07,,,1,0.467980295566503,1.67105263157895,1.25438596491228,2.13461538461538,,,0.296296296296296,0.033861698293183,0.119407041349643,0.085077516961621,0.141795861602702,,,0.025208153173814,0.19,0.254,0.429,0.111,,,0.016,0.003,0.003,0.054,0.052,0.342,0.406,0.152
12,16,27,7,2020-08-08,,,1,0.467980295566503,1.67105263157895,1.25438596491228,2.13461538461538,,,0.296296296296296,0.033861698293183,0.119407041349643,0.085077516961621,0.141795861602702,,,0.025208153173814,0.19,0.254,0.429,0.111,,,0.016,0.003,0.003,0.054,0.052,0.342,0.406,0.152
12,16,27,7,2020-08-12,,,1,0.467980295566503,1.67105263157895,1.25438596491228,2.13461538461538,,,0.296296296296296,0.033861698293183,0.119407041349643,0.085077516961621,0.141795861602702,,,0.025208153173814,0.19,0.254,0.429,0.111,,,0.016,0.003,0.003,0.054,0.052,0.342,0.406,0.152
13,16,27,8,2020-08-13,,,1,0.492610837438424,1.61842105263158,1.21345029239766,2.36538461538462,,,0.277777777777778,0.036683506484281,0.119407041349643,0.085077516961621,0.16205241326023,,,0.025208153173814,0.2,0.246,0.415,0.123,,,0.015,0.003,0.003,0.054,0.052,0.342,0.406,0.152
14,15,27,8,2020-08-14,,,1,0.529556650246305,1.51973684210526,1.21345029239766,2.36538461538462,,,0.277777777777778,0.03950531467538,0.111944101265291,0.085077516961621,0.16205241326023,,,0.025208153173814,0.215,0.231,0.415,0.123,,,0.015,0.003,0.003,0.054,0.052,0.342,0.406,0.152
14,15,27,8,2020-08-15,,,1,0.529556650246305,1.51973684210526,1.21345029239766,2.36538461538462,,,0.277777777777778,0.03950531467538,0.111944101265291,0.085077516961621,0.16205241326023,,,0.025208153173814,0.215,0.231,0.415,0.123,,,0.015,0.003,0.003,0.054,0.052,0.342,0.406,0.152
14,15,27,8,2020-08-16,,,1,0.529556650246305,1.51973684210526,1.21345029239766,2.36538461538462,,,0.277777777777778,0.03950531467538,0.111944101265291,0.085077516961621,0.16205241326023,,,0.025208153173814,0.215,0.231,0.415,0.123,,,0.015,0.003,0.003,0.054,0.052,0.342,0.406,0.152
16,19,29,8,2020-08-22,,,1,0.5394088669950738,1.710526315789474,1.1608187134502923,2.1153846153846154,,,0.25925925925925924,0.04514893105757663,0.1417958616027016,0.09137955525507437,0.16205241326023043,,,0.025208153173813617,0.219,0.26,0.397,0.11,,,0.014,0.003,0.003,0.054,0.052,0.342,0.406,0.152
16,19,29,8,2020-08-23,,,1,0.5394088669950738,1.710526315789474,1.1608187134502923,2.1153846153846154,,,0.25925925925925924,0.04514893105757663,0.1417958616027016,0.09137955525507437,0.16205241326023043,,,0.025208153173813617,0.219,0.26,0.397,0.11,,,0.014,0.003,0.003,0.054,0.052,0.342,0.406,0.152
16,19,29,8,2020-08-24,,,1,0.5394088669950738,1.710526315789474,1.1608187134502923,2.1153846153846154,,,0.25925925925925924,0.04514893105757663,0.1417958616027016,0.09137955525507437,0.16205241326023043,,,0.025208153173813617,0.219,0.26,0.397,0.11,,,0.014,0.003,0.003,0.054,0.052,0.342,0.406,0.152
17,21,29,8,2020-08-25,,,1,0.5517241379310345,1.8157894736842106,1.1169590643274854,2.019230769230769,,,0.24074074074074073,0.04797073924867517,0.15672174177140705,0.09137955525507437,0.16205241326023043,,,0.025208153173813617,0.224,0.276,0.382,0.105,,,0.013,0.003,0.003,0.054,0.052,0.342,0.406,0.152
