Hispanic,White,Asian,Black,Multi-Race,American Indian/Alaska Native,Native Hawaiian/Pacific Islander,date,Hispanic_discrepancy,White_discrepancy,Asian_discrepancy,Black_discrepancy,Multi-Race_discrepancy,American Indian/Alaska Native_discrepancy,Native Hawaiian/Pacific Islander_discrepancy,Hispanic_rates,White_rates,Asian_rates,Black_rates,Multi-Race_rates,American Indian/Alaska Native_rates,Native Hawaiian/Pacific Islander_rates,Hispanic_covidperc,White_covidperc,Asian_covidperc,Black_covidperc,Multi-Race_covidperc,American Indian/Alaska Native_covidperc,Native Hawaiian/Pacific Islander_covidperc,Hispanic_demperc,White_demperc,Asian_demperc,Black_demperc,Multi-Race_demperc,American Indian/Alaska Native_demperc,Native Hawaiian/Pacific Islander_demperc,Other
101464,32447,11635,8125,1332,381,1123,2020-07-08,1.6454397735538595,0.5664475420555046,0.5127015360996302,0.9439020154195833,0.276324721876678,0.6955416873184129,1.9931660848680537,6.517548826336445,2.249832676105288,1.8997796233593907,3.1635780148335364,0.8427771831516542,0.6026616118257887,5.684316977052899,0.6483032707802207,0.2073198003923147,0.07434172273444638,0.05191461084807708,0.008510801433801682,0.002434395905614445,0.007175397905524993,0.394,0.366,0.145,0.055,0.0308,0.0035,0.0036,0.0025
104040,33275,11815,8336,1382,393,1144,2020-07-09,1.6464190149052824,0.5668566296502048,0.5080447586787397,0.9449988238528314,0.2797651268518245,0.700101096023408,1.9813435033062805,6.683018409406722,2.3072451165717465,1.9291702836262312,3.2457337023572133,0.8744129632999895,0.62164307991479,5.790613198351306,0.6486890918726813,0.20746952645197494,0.07366649000841724,0.05197493531190573,0.008616765907036195,0.002450353836081928,0.007132836611902609,0.394,0.366,0.145,0.055,0.0308,0.0035,0.0036,0.0025
109834,35378,12234,8777,1479,422,1211,2020-07-10,1.6462426401035164,0.5708282527876243,0.4982573820716536,0.9424030364769137,0.283576818256595,0.7120289873412382,1.9865290039796197,7.055196501141657,2.453064394713005,1.9975852094695992,3.417442982916178,0.9357863767877601,0.6675149611298762,6.12974876154146,0.6486196002007855,0.20892314052027047,0.07224732040038977,0.05183216700623025,0.008734166002303126,0.002492101455694334,0.007151504414326631,0.394,0.366,0.145,0.055,0.0308,0.0035,0.0036,0.0025
109834,35378,12234,8777,1479,422,1211,2020-07-11,1.6462426401035164,0.5708282527876243,0.4982573820716536,0.9424030364769137,0.283576818256595,0.7120289873412382,1.9865290039796197,7.055196501141657,2.453064394713005,1.9975852094695992,3.417442982916178,0.9357863767877601,0.6675149611298762,6.12974876154146,0.6486196002007855,0.20892314052027047,0.07224732040038977,0.05183216700623025,0.008734166002303126,0.002492101455694334,0.007151504414326631,0.394,0.366,0.145,0.055,0.0308,0.0035,0.0036,0.0025
112854,36481,12473,9021,1531,446,1243,2020-07-12,1.6456944428363176,0.5726827697256412,0.4942325991828302,0.9423678493882861,0.28559654009958235,0.7321419337575708,1.983796389394813,7.249186462660384,2.5295449766387343,2.0366094750461263,3.512447664223179,0.9686875881420289,0.7054778973078787,6.291723955900937,0.6484036104775092,0.2096018937195847,0.07166372688151038,0.051830231716355736,0.008796373435067137,0.0025624967681514977,0.007141667001821326,0.394,0.366,0.145,0.055,0.0308,0.0035,0.0036,0.0025
115828,37400,12648,9196,1563,458,1282,2020-07-13,1.6480992035401378,0.572870594812764,0.4890123963946548,0.9373510861948143,0.2844947624204807,0.7336069676644308,1.9964182823327883,7.440221610195712,2.5932672384608058,2.0651837280833325,3.580586267619594,0.9889344874369635,0.7244593653968798,6.489131224026551,0.6493510861948143,0.20967063770147162,0.07090679747722495,0.05155430974071479,0.008762438682550807,0.002567624386825508,0.007187105816398038,0.394,0.366,0.145,0.055,0.0308,0.0035,0.0036,0.0025
118368,38167,12866,9389,1587,460,1306,2020-07-14,1.6493985271961384,0.5725249982981906,0.48715039547365874,0.9372256463827372,0.2828874786622271,0.7215680615152458,1.991719570764607,7.603378730148548,2.646450018458117,2.1007790832953948,3.6557334130796395,1.0041196619081645,0.7276229434117134,6.610612619796158,0.6498630197152786,0.20954414937713775,0.07063680734368051,0.05154741055105055,0.008712934342796593,0.0025254882153033604,0.0071701904547525844,0.394,0.366,0.145,0.055,0.0308,0.0035,0.0036,0.0025
122179,39528,13167,9697,1621,482,1348,2020-07-15,1.649269685311153,0.5744008679835338,0.48295889072408626,0.9377045819589777,0.2799133618931302,0.7324370856297971,1.9914927213009352,7.848178645164398,2.740819984007453,2.1499267985193895,3.7756573550573296,1.0256319924090325,0.7624223015748823,6.823205062392971,0.6498122560125943,0.21023071768197338,0.0700290391549925,0.05157375200774377,0.008621331546308411,0.00256352979970429,0.0071693737966833666,0.394,0.366,0.145,0.055,0.0308,0.0035,0.0036,0.0025
125858,40603,13417,9963,1679,498,1389,2020-07-16,1.6516286805718006,0.5735943294190249,0.4784265020540034,0.9366023698493567,0.28185632894873,0.7356802715812473,1.994929518235293,8.084499528749628,2.815359082439147,2.1907471600011124,3.8792280322198796,1.0623294973811015,0.7877309256935506,7.030735780166052,0.6507417001452894,0.2099355245673631,0.06937184279783049,0.05151313034171462,0.008681174931620883,0.0025748809505343655,0.007181746265647055,0.394,0.366,0.145,0.055,0.0308,0.0035,0.0036,0.0025
133843,42533,13898,10432,1790,532,1453,2020-07-17,1.661293937751083,0.5683187313914799,0.46873927583525593,0.9275811800251723,0.2842165439179343,0.7433453474894978,1.973831852891521,8.597416695215532,2.9491827661351193,2.2692855354919477,4.061839489322271,1.1325609293104062,0.8415117519457207,7.354686168885006,0.6545498114739267,0.20800465568928164,0.0679671949961121,0.05101696490138448,0.008753869552672376,0.0026017087162132422,0.007105794670409476,0.394,0.366,0.145,0.055,0.0308,0.0035,0.0036,0.0025
