Hispanic,White,Asian,Black,Multi-Race,American Indian/Alaska Native,Native Hawaiian/Pacific Islander,date,Hispanic_discrepancy,White_discrepancy,Asian_discrepancy,Black_discrepancy,Multi-Race_discrepancy,American Indian/Alaska Native_discrepancy,Native Hawaiian/Pacific Islander_discrepancy,Hispanic_rates,White_rates,Asian_rates,Black_rates,Multi-Race_rates,American Indian/Alaska Native_rates,Native Hawaiian/Pacific Islander_rates,Hispanic_covidperc,White_covidperc,Asian_covidperc,Black_covidperc,Multi-Race_covidperc,American Indian/Alaska Native_covidperc,Native Hawaiian/Pacific Islander_covidperc,Hispanic_demperc,White_demperc,Asian_demperc,Black_demperc,Multi-Race_demperc,American Indian/Alaska Native_demperc,Native Hawaiian/Pacific Islander_demperc,Other
8429,5228,2036,1292,139,57,81,2020-10-29,1.239335014206258,0.8274911948479018,0.8134271411391976,1.3608451564655943,0.2614405638388954,0.9434430706589204,1.3034410844629825,0.5414375449143528,0.3625027038147886,0.3324410239071525,0.5030575747895297,0.08794746881237232,0.0901619734227558,0.40999971072242636,0.48829799559726567,0.30286177731433206,0.11794693546518364,0.0748464836056077,0.00805236936623798,0.0033020507473062216,0.0046923879040667365,0.394,0.366,0.145,0.055,0.0308,0.0035,0.0036,0.0025
8506,5269,2060,1308,142,58,82,2020-10-31,1.2389573880808977,0.8261793321886931,0.8153168752782863,1.3648102256423633,0.2645847696062904,0.9510145521623282,1.3071895424836601,0.5463836465822144,0.36534559035962527,0.3363597786093979,0.5092873899572019,0.08984561562127244,0.09174376243017256,0.41506143554616,0.48814921090387375,0.3023816355810617,0.11822094691535151,0.07506456241032998,0.008149210903873745,0.003328550932568149,0.004705882352941176,0.394,0.366,0.145,0.055,0.0308,0.0035,0.0036,0.0025
8506,5269,2060,1308,142,58,82,2020-11-01,1.2389573880808977,0.8261793321886931,0.8153168752782863,1.3648102256423633,0.2645847696062904,0.9510145521623282,1.3071895424836601,0.5463836465822144,0.36534559035962527,0.3363597786093979,0.5092873899572019,0.08984561562127244,0.09174376243017256,0.41506143554616,0.48814921090387375,0.3023816355810617,0.11822094691535151,0.07506456241032998,0.008149210903873745,0.003328550932568149,0.004705882352941176,0.394,0.366,0.145,0.055,0.0308,0.0035,0.0036,0.0025
8516,5281,2063,1309,142,58,82,2020-11-03,1.2385658814950171,0.8268272161270919,0.8152877317572949,1.3638186923385478,0.26419056847112543,0.9495976489272002,1.3052419791288623,0.5470259974481704,0.36617765471421165,0.3368496229471786,0.5096767534051814,0.08984561562127244,0.09174376243017256,0.41506143554616,0.48799495730903675,0.3026187611025156,0.11821672110480774,0.07501002807862013,0.008137069508910664,0.003323591771245201,0.004698871124863904,0.394,0.366,0.145,0.055,0.0308,0.0035,0.0036,0.0025
8573,5330,2081,1318,144,58,84,2020-11-05,1.237143691649475,0.8279987224274873,0.8159952318587125,1.3624992246779828,0.26582469156951755,0.9422008512297345,1.3266621181108331,0.5506873973841199,0.3695752508287726,0.33978868897386266,0.513181024436997,0.09111104682720586,0.09174376243017256,0.4251848851936273,0.4874346145098931,0.30304753240846033,0.1183193086195133,0.07493745735728906,0.008187400500341141,0.003297702979304071,0.0047759836251989995,0.394,0.366,0.145,0.055,0.0308,0.0035,0.0036,0.0025
8610,5347,2089,1320,145,58,84,2020-11-08,1.237908110699178,0.8275811260118019,0.8161160455290397,1.3595422874298986,0.26668510778860294,0.9387315794158824,1.3217772238901793,0.5530640955881573,0.3707540086644366,0.3410949405412778,0.513959751332956,0.09174376243017256,0.09174376243017256,0.4251848851936273,0.48773579561547614,0.3028946921203195,0.11833682660171076,0.07477482580864442,0.00821390131988897,0.0032855605279555884,0.004758398006004645,0.394,0.366,0.145,0.055,0.0308,0.0035,0.0036,0.0025
8667,5396,2096,1327,148,59,86,2020-11-10,1.237272171040779,0.829246268007599,0.8130475512567132,1.3570657926358471,0.2702736264803873,0.9481491004636288,1.3436576235383817,0.5567254955241068,0.37415160477899756,0.34223791066276604,0.5166852954688126,0.09364190923907269,0.09332555143758933,0.43530833484109466,0.48748523539006694,0.30350413409078125,0.1178918949322234,0.07463861859497159,0.008324427695595929,0.003318521851622701,0.004837167444738174,0.394,0.366,0.145,0.055,0.0308,0.0035,0.0036,0.0025
8731,5432,2107,1332,151,59,87,2020-11-11,1.2380523200825386,0.8291820802639706,0.8118349898183486,1.3530466404928665,0.273903424917448,0.9417924385240996,1.350168538279606,0.5608365410662255,0.3766477978427566,0.34403400656796185,0.5186321127087102,0.0955400560479728,0.09332555143758933,0.4403700596648283,0.48779261411252023,0.30348064137661324,0.11771607352366054,0.07441756522710766,0.0084362254874574,0.0032962735348343484,0.004860606737806581,0.394,0.366,0.145,0.055,0.0308,0.0035,0.0036,0.0025
8731,5432,2107,1332,151,59,87,2020-11-12,1.2380523200825386,0.8291820802639706,0.8118349898183486,1.3530466404928665,0.273903424917448,0.9417924385240996,1.350168538279606,0.5608365410662255,0.3766477978427566,0.34403400656796185,0.5186321127087102,0.0955400560479728,0.09332555143758933,0.4403700596648283,0.48779261411252023,0.30348064137661324,0.11771607352366054,0.07441756522710766,0.0084362254874574,0.0032962735348343484,0.004860606737806581,0.394,0.366,0.145,0.055,0.0308,0.0035,0.0036,0.0025
8807,5490,2119,1341,153,61,86,2020-11-15,1.2379017488050388,0.830702774547267,0.8093145651796133,1.3502696008095576,0.2751028668955235,0.9651975094739673,1.3229710853900918,0.5657184076474914,0.3806694422232573,0.3459933839190846,0.5221363837405258,0.09680548725390622,0.09648912945242287,0.43530833484109466,0.48773328902918534,0.30403721548429974,0.11735061195104392,0.07426482804452567,0.008473168300382123,0.0033781912831588857,0.0047626959074043304,0.394,0.366,0.145,0.055,0.0308,0.0035,0.0036,0.0025
