White,Hispanic,Asian,Black,Native Hawaiian/Pacific Islander,Other,date,White_discrepancy,Hispanic_discrepancy,Asian_discrepancy,Black_discrepancy,Native Hawaiian/Pacific Islander_discrepancy,Other_discrepancy,White_rates,Hispanic_rates,Asian_rates,Black_rates,Native Hawaiian/Pacific Islander_rates,Other_rates,White_covidperc,Hispanic_covidperc,Asian_covidperc,Black_covidperc,Native Hawaiian/Pacific Islander_covidperc,White_demperc,Hispanic_demperc,Asian_demperc,Black_demperc,Native Hawaiian/Pacific Islander_demperc,Other_demperc
1041,3652,934,152,59,681,2020-07-21,0.42281391801065443,1.8155605269699229,0.2976475012269196,0.6746919498597351,1.466567238379319,1.567376474162455,1.7646379412494972,7.577345148901472,1.2422487799228337,2.815865236839461,6.120801804287881,,0.12938105891126025,0.4538901317424807,0.11608252547849864,0.018891374596072583,0.007332836191896595,0.306,0.25,0.39,0.028,0.005,0.054
1054,3785,948,156,59,712,2020-07-22,0.41394597337392675,1.8194928494171374,0.2921246521775304,0.6695623808951534,1.4180987862035812,1.5845673819475043,1.7866747262987226,7.853299942111739,1.26086921131354,2.8899669535983943,6.120801804287881,,0.12666746785242158,0.45487321235428435,0.11392861434923687,0.018747746665064294,0.007090493931017907,0.306,0.25,0.39,0.028,0.005,0.054
1074,3910,959,159,60,729,2020-07-23,0.41132121429375684,1.8328840970350404,0.28817231442333985,0.6654835847382431,1.406304933786476,1.5820930505097857,1.8205774725282997,8.112655950768005,1.2754995502633806,2.945543241167594,6.224544207750387,,0.1258642915738896,0.4582210242587601,0.11238720262510254,0.018633540372670808,0.00703152466893238,0.306,0.25,0.39,0.028,0.005,0.054
1101,4020,971,162,60,742,2020-07-24,0.4126665002507483,1.8442481936001835,0.2855538008651898,0.663575442793243,1.376304622089689,1.5759537493681317,1.866346179938229,8.34088923838552,1.291459920026843,3.001119528736794,6.224544207750387,,0.12627594907672898,0.4610620484000459,0.11136598233742402,0.018580112398210804,0.006881523110448446,0.306,0.25,0.39,0.028,0.005,0.054
1124,4097,976,164,61,746,2020-07-25,0.4158499506825637,1.8553152949167893,0.2833198350010305,0.6671410780999821,1.403826559492811,1.5640003186703062,1.905334338102243,8.500652539717779,1.2981100740949525,3.0381703871162604,6.328286611212894,,0.1272500849088645,0.4638288237291973,0.1104947356504019,0.0186799501867995,0.007019132797464055,0.306,0.25,0.39,0.028,0.005,0.054
1143,4178,986,165,60,775,2020-07-26,0.41315054945769925,1.8484680898130739,0.27963777549000424,0.6517926272378213,1.3272868045570179,1.5874186319933472,1.9375419470203414,8.66871523332704,1.3114103822311713,3.056695816305994,6.224544207750387,,0.12642406813405596,0.46211702245326847,0.10905873244110165,0.018250193562658997,0.00663643402278509,0.306,0.25,0.39,0.028,0.005,0.054
1163,4363,1006,173,62,803,2020-07-28,0.4060961208218017,1.8647291377283899,0.2756156832447034,0.6601743165478606,1.3249278769099262,1.5888845357805716,1.9714446932499188,9.052562126138314,1.3380109985036088,3.2048992498238604,6.4320290146754004,,0.12426541297147131,0.46618228443209747,0.10749011646543434,0.0184848808633401,0.006624639384549632,0.306,0.25,0.39,0.028,0.005,0.054
1185,4571,1047,177,65,789,2020-07-29,0.4028869142330257,1.9022055763628798,0.2792983130061782,0.6576600677724274,1.3524760715771953,1.5200906274564203,2.0087377141024536,9.48413052454234,1.392542261862106,3.2790009665827933,6.74325622506292,,0.12328339575530586,0.47555139409071995,0.10892634207240949,0.018414481897627965,0.006762380357885976,0.306,0.25,0.39,0.028,0.005,0.054
1200,4685,1065,184,66,784,2020-07-30,0.4029974953705663,1.925804131127325,0.28062575591092703,0.6753086600995346,1.356489569417326,1.4919862828608075,2.0341647737746364,9.720663204436855,1.4164828165072996,3.4086789709109264,6.8469986285254265,,0.12331723358339328,0.48145103278183127,0.10944404480526154,0.01890864248278697,0.0067824478470866305,0.306,0.25,0.39,0.028,0.005,0.054
1234,5025,1114,198,67,794,2020-08-01,0.3907256795428826,1.9474857087491522,0.2767571220240535,0.6851495563829639,1.298323805832768,1.4246394442111912,2.091799442364918,10.426111547981899,1.4816543263747717,3.6680349795671927,6.950741031987932,,0.11956205794012208,0.48687142718728804,0.10793527758938087,0.01918418757872299,0.00649161902916384,0.306,0.25,0.39,0.028,0.005,0.054
1272,5212,1130,201,71,796,2020-08-02,0.3911973221436137,1.9619800489365706,0.27267418571766394,0.6755666693554893,1.3363448146056842,1.3872332712912423,2.156214660201115,10.814108136931674,1.5029348193927217,3.7236112671363926,7.365710645837958,,0.11970638057594579,0.49049501223414266,0.10634293242988895,0.0189158667419537,0.006681724073028421,0.306,0.25,0.39,0.028,0.005,0.054
1350,5871,1225,220,76,832,2020-08-06,0.3891817842168625,2.0716302046577275,0.27708412500226187,0.693114225224317,1.340860973888497,1.3591573224600748,2.288435370496466,12.181433014567508,1.6292877466868,4.075594421741325,7.884422663150491,,0.11908962597035992,0.5179075511644319,0.10806280875088214,0.019407198306280876,0.0067043048694424845,0.306,0.25,0.39,0.028,0.005,0.054
1363,5986,1244,220,77,852,2020-08-07,0.38816979224514786,2.0866230936819172,0.2779732975811407,0.6847183317771552,1.3420479302832244,1.374969740982813,2.3104721555456913,12.420040542531273,1.6545583321456157,4.075594421741325,7.988165066612997,,0.11877995642701525,0.5216557734204793,0.10840958605664489,0.01917211328976035,0.006710239651416122,0.306,0.25,0.39,0.028,0.005,0.054
1376,6159,1260,226,80,850,2020-08-08,0.3847635857058091,2.107983229229058,0.27644127926492945,0.6906330599322812,1.3690425258834602,1.3468589664362745,2.332508940594917,12.778989258511546,1.6758388251635659,4.186746996879725,8.299392277000516,,0.11773765722597758,0.5269958073072645,0.1078120989133225,0.019337725678103875,0.006845212629417301,0.306,0.25,0.39,0.028,0.005,0.054
